user_id,book_id,svd_score,knn_score,cb_score,adaptive_score,pop_score,boosted_score,rank
U0001,B0188,0.0,0.0,1.0,0.8,0.10989010989010989,0.6964835164835166,1
U0001,B0029,0.0,0.0,1.0,0.8,0.03296703296703297,0.684945054945055,2
U0001,B0162,0.0,0.0,1.0,0.8,0.03296703296703297,0.684945054945055,3
U0001,B0283,0.0,0.0,0.5555555555555556,0.4444444444444445,0.03296703296703297,0.3827228327228327,4
U0001,B0183,0.0,0.0,0.4444444444444445,0.3555555555555556,0.08791208791208792,0.3154090354090355,5
U0001,B0080,0.0,0.0,0.4444444444444445,0.3555555555555556,0.054945054945054944,0.31046398046398055,6
U0001,B0073,0.0,0.0,0.25925925925925924,0.2074074074074074,0.054945054945054944,0.18453805453805452,7
U0001,B0144,0.0,0.0,0.25925925925925924,0.2074074074074074,0.03296703296703297,0.18124135124135124,8
U0001,B0137,0.0,0.0,0.25925925925925924,0.2074074074074074,0.02197802197802198,0.17959299959299957,9
U0001,B0068,0.0,0.0,0.16666666666666666,0.13333333333333333,0.06593406593406594,0.12322344322344322,10
U0002,BOK_266,0.0,0.0,1.0,0.8,0.0,0.68,1
U0002,BOK_297,0.0,0.0,0.4444444444444445,0.3555555555555556,0.0,0.3022222222222223,2
U0002,B0138,0.0,0.0,0.25925925925925924,0.2074074074074074,0.07692307692307693,0.18783475783475784,3
U0002,B0039,0.0,0.0,0.16666666666666666,0.13333333333333333,0.04395604395604396,0.11992673992673993,4
U0002,BOK_056,0.8687364933616273,0.0,0.0,0.08687364933616273,0.26373626373626374,0.11340304149617789,5
U0002,BOK_295,1.0,0.0,0.0,0.1,0.16483516483516483,0.10972527472527473,6
U0002,B0233,0.0,1.0,0.0,0.1,0.14285714285714285,0.10642857142857143,7
U0002,BOK_094,0.8060554623634253,0.0,0.0,0.08060554623634253,0.16483516483516483,0.09323998902616587,8
U0002,BOK_294,0.8712619182808035,0.0,0.0,0.08712619182808035,0.12087912087912088,0.09218913118573643,9
U0002,BOK_257,0.0,0.0,0.11111111111111112,0.0888888888888889,0.08791208791208792,0.08874236874236875,10
U0003,B0037,0.0,0.0,1.0,0.8,0.054945054945054944,0.6882417582417583,1
U0003,B0115,0.0,0.0,0.4444444444444445,0.3555555555555556,0.02197802197802198,0.30551892551892557,2
U0003,B0168,0.0,0.0,0.25925925925925924,0.2074074074074074,0.10989010989010989,0.19277981277981276,3
U0003,BOK_056,1.0,0.0,0.0,0.1,0.26373626373626374,0.12456043956043956,4
