user_id,book_id,hybrid_score,svd_score,knn_score,cb_score,rank
U0001,B0121,0.6,0.0,0.6,0.0,1
U0001,B0200,0.5446709916589436,0.0,0.5446709916589436,0.0,2
U0001,B0264,0.480908248378128,0.0,0.480908248378128,0.0,3
U0001,B0209,0.292664675797206,0.0,0.2778498609823912,0.014814814814814812,4
U0001,B0217,0.27516218721037994,0.0,0.27516218721037994,0.0,5
U0001,B0029,0.2,0.0,0.0,0.2,6
U0001,B0162,0.2,0.0,0.0,0.2,7
U0001,B0188,0.2,0.0,0.0,0.2,8
U0001,BOK_094,0.2,0.2,0.0,0.0,9
U0001,B0262,0.17979610750695083,0.0,0.17979610750695083,0.0,10
U0002,B0233,0.6,0.0,0.6,0.0,1
U0002,BOK_266,0.2,0.0,0.0,0.2,2
U0002,BOK_295,0.2,0.2,0.0,0.0,3
U0002,BOK_294,0.1742523836561607,0.1742523836561607,0.0,0.0,4
U0002,BOK_056,0.17374729867232547,0.17374729867232547,0.0,0.0,5
U0002,BOK_094,0.16121109247268506,0.16121109247268506,0.0,0.0,6
U0002,B0238,0.1442653105388444,0.0,0.1442653105388444,0.0,7
U0002,BOK_237,0.14199548291759487,0.14199548291759487,0.0,0.0,8
U0002,BOK_238,0.13692630756212884,0.13692630756212884,0.0,0.0,9
U0002,BOK_117,0.12314611723266063,0.12314611723266063,0.0,0.0,10
U0003,B0153,0.6,0.0,0.6,0.0,1
U0003,B0086,0.3457661701693531,0.0,0.3457661701693531,0.0,2
U0003,B0237,0.3457661701693531,0.0,0.3457661701693531,0.0,3
U0003,B0068,0.3384207304631707,0.0,0.3384207304631707,0.0,4
U0003,B0170,0.2469700061211997,0.0,0.2469700061211997,0.0,5
U0003,B0092,0.20785780679679877,0.0,0.18563558457457655,0.022222222222222227,6
U0003,B0037,0.2,0.0,0.0,0.2,7
U0003,BOK_056,0.2,0.2,0.0,0.0,8
U0003,B0140,0.19379718424811254,0.0,0.19379718424811254,0.0,9
U0003,B0057,0.18563558457457655,0.0,0.18563558457457655,0.0,10
U0004,B0238,0.6024691358024691,0.0,0.6,0.0024691358024691336,1
U0004,B0233,0.4135648657488627,0.0,0.4135648657488627,0.0,2
U0004,B0123,0.2,0.0,0.0,0.2,3
U0004,BOK_238,0.2,0.2,0.0,0.0,4
U0004,B0104,0.19810294073919896,0.0,0.19810294073919896,0.0,5
U0004,BOK_295,0.18653773182117273,0.18653773182117273,0.0,0.0,6
U0004,B0276,0.18566798489488862,0.0,0.18566798489488862,0.0,7
U0004,BOK_110,0.1735902043032738,0.1735902043032738,0.0,0.0,8
U0004,B0191,0.1473283577651571,0.0,0.1473283577651571,0.0,9
U0004,BOK_117,0.14283818541367055,0.14283818541367055,0.0,0.0,10
U0005,B0154,0.6095238095238095,0.0,0.6,0.009523809523809521,1
U0005,B0136,0.5475172694026817,0.0,0.5475172694026817,0.0,2
U0005,B0282,0.4868752539618041,0.0,0.4868752539618041,0.0,3
U0005,B0099,0.4519951239333604,0.0,0.4519951239333604,0.0,4
U0005,B0233,0.4249139916023297,0.0,0.39158065826899635,0.03333333333333333,5
U0005,B0080,0.26800487606663953,0.0,0.26800487606663953,0.0,6
U0005,B0147,0.26800487606663953,0.0,0.26800487606663953,0.0,7
U0005,B0019,0.2,0.0,0.0,0.2,8
U0005,BOK_117,0.2,0.2,0.0,0.0,9
U0005,B0243,0.16898821617228763,0.0,0.16898821617228763,0.0,10
U0006,B0236,0.6518518518518518,0.0,0.6,0.05185185185185185,1
U0006,B0298,0.4019484808454425,0.0,0.20194848084544248,0.2,2
U0006,B0160,0.275987083516806,0.0,0.2537648612945838,0.022222222222222227,3
U0006,B0108,0.24185931307793923,0.0,0.24185931307793923,0.0,4
U0006,BOK_295,0.2,0.2,0.0,0.0,5
U0006,BOK_110,0.1632633446382422,0.1632633446382422,0.0,0.0,6
U0006,BOK_141,0.14835116428505132,0.14835116428505132,0.0,0.0,7
