user_id,book_id,svd_score,knn_score,cb_score,adaptive_score,pop_score,boosted_score,rank
U0001,B0188,0.0,0.0,1.0,0.8,0.10989010989010989,1.0,1
U0001,B0029,0.0,0.0,1.0,0.8,0.03296703296703297,0.9825388026607538,2
U0001,B0162,0.0,0.0,1.0,0.8,0.03296703296703297,0.9825388026607538,3
U0001,B0068,0.0,0.0,0.16666666666666666,0.13333333333333333,0.06593406593406594,0.13248337028824833,4
U0001,B0263,0.0,0.0,0.16666666666666666,0.13333333333333333,0.054945054945054944,0.12998891352549888,5
U0001,BOK_094,1.0,0.0,0.0,0.1,0.16483516483516483,0.11205654101995566,6
U0001,B0070,0.0,0.0,0.11111111111111112,0.0888888888888889,0.04395604395604396,0.07032520325203255,7
U0001,BOK_056,0.38790706480939213,0.0,0.0,0.03879070648093921,0.26373626373626374,0.05577263547063162,8
U0001,B0283,0.0,0.0,0.5555555555555556,0.4444444444444445,0.03296703296703297,0.5251847745750183,9
U0001,B0183,0.0,0.0,0.4444444444444445,0.3555555555555556,0.08791208791208792,0.4233185513673319,10
U0002,BOK_266,0.0,0.0,1.0,0.8,0.0,1.0,1
U0002,B0039,0.0,0.0,0.16666666666666666,0.13333333333333333,0.04395604395604396,0.17032937218514296,2
U0002,BOK_056,0.8687364933616273,0.0,0.0,0.08687364933616273,0.26373626373626374,0.16066542041595616,3
U0002,BOK_094,0.8060554623634253,0.0,0.0,0.08060554623634253,0.16483516483516483,0.13079666289078778,4
U0002,BOK_117,0.6157305861633031,0.0,0.0,0.06157305861633031,0.14285714285714285,0.10194817001421372,5
U0002,B0169,0.0,0.15775806102575202,0.0,0.0157758061025752,0.1978021978021978,0.056491268143157934,6
U0002,B0059,0.0,0.0,0.0,0.0,0.15384615384615385,0.026859840468826307,7
U0002,BOK_269,0.0,0.0,0.012345679012345666,0.009876543209876534,0.04395604395604396,0.014877919864625585,8
U0002,BOK_297,0.0,0.0,0.4444444444444445,0.3555555555555556,0.0,0.4403747716461375,9
U0002,B0138,0.0,0.0,0.25925925925925924,0.2074074074074074,0.07692307692307693,0.270925654614406,10
U0003,B0037,0.0,0.0,1.0,0.8,0.054945054945054944,1.0,1
U0003,B0168,0.0,0.0,0.25925925925925924,0.2074074074074074,0.10989010989010989,0.2766398678479538,2
