user_id,book_id,svd_rank,knn_rank,cb_rank,rrf_score,rank
U0001,B0029,inf,inf,1.0,0.01639344262295082,1
U0001,B0188,inf,inf,2.0,0.016129032258064516,2
U0001,B0162,inf,inf,3.0,0.015873015873015872,3
U0001,B0283,inf,inf,4.0,0.015625,4
U0001,B0080,inf,inf,5.0,0.015384615384615385,5
U0001,B0183,inf,inf,6.0,0.015151515151515152,6
U0001,B0144,inf,inf,7.0,0.014925373134328358,7
U0001,B0073,inf,inf,8.0,0.014705882352941176,8
U0001,B0137,inf,inf,9.0,0.014492753623188406,9
U0001,B0232,inf,inf,10.0,0.014285714285714285,10
U0002,BOK_266,inf,inf,1.0,0.01639344262295082,1
U0002,BOK_297,inf,inf,2.0,0.016129032258064516,2
U0002,B0138,inf,inf,3.0,0.015873015873015872,3
U0002,B0039,inf,inf,4.0,0.015625,4
U0002,BOK_257,inf,inf,5.0,0.015384615384615385,5
U0002,B0033,inf,inf,6.0,0.015151515151515152,6
U0002,BOK_211,inf,inf,7.0,0.014925373134328358,7
U0002,BOK_031,inf,inf,8.0,0.014705882352941176,8
U0002,BOK_269,inf,inf,9.0,0.014492753623188406,9
U0002,B0059,inf,inf,10.0,0.014285714285714285,10
U0003,B0037,inf,inf,1.0,0.01639344262295082,1
U0003,B0115,inf,inf,2.0,0.016129032258064516,2
U0003,B0168,inf,inf,3.0,0.015873015873015872,3
U0003,B0259,inf,inf,4.0,0.015625,4
U0003,B0092,inf,8.0,5.0,0.015384615384615385,5
U0003,B0052,inf,inf,6.0,0.015151515151515152,6
U0003,B0248,inf,inf,7.0,0.014925373134328358,7
U0003,B0293,inf,inf,8.0,0.014705882352941176,8
U0003,B0039,inf,inf,9.0,0.014492753623188406,9
U0003,BOK_137,inf,inf,10.0,0.014285714285714285,10
U0004,B0123,inf,inf,1.0,0.01639344262295082,1
U0004,B0185,inf,inf,2.0,0.016129032258064516,2
U0004,B0031,inf,8.0,3.0,0.015873015873015872,3
U0004,BOK_127,inf,inf,4.0,0.015625,4
U0004,BOK_009,inf,inf,5.0,0.015384615384615385,5
U0004,BOK_177,inf,inf,6.0,0.015151515151515152,6
U0004,BOK_097,inf,inf,7.0,0.014925373134328358,7
U0004,B0210,inf,inf,8.0,0.014705882352941176,8
U0004,B0238,inf,1.0,9.0,0.014492753623188406,9
U0004,BOK_120,inf,inf,10.0,0.014285714285714285,10
U0005,B0019,inf,inf,1.0,0.01639344262295082,1
U0005,B0111,inf,inf,2.0,0.016129032258064516,2
U0005,B0015,inf,inf,3.0,0.015873015873015872,3
U0005,B0233,inf,5.0,4.0,0.015625,4
U0005,B0169,inf,inf,5.0,0.015384615384615385,5
U0005,B0038,inf,inf,6.0,0.015151515151515152,6
U0005,B0154,inf,1.0,7.0,0.014925373134328358,7
U0005,B0211,inf,inf,8.0,0.014705882352941176,8
U0005,BOK_009,inf,inf,9.0,0.014492753623188406,9
U0005,BOK_177,inf,inf,10.0,0.014285714285714285,10
U0006,B0298,inf,4.0,1.0,0.01639344262295082,1
U0006,B0130,inf,inf,2.0,0.016129032258064516,2
